franchID,year,playoff_next_year,playoff,coachID,final_score,final_score_rolling_3
ATL,9,0.0,0,meadoma99w,951.78,
ATL,10,1.0,1,meadoma99w,1105.125,951.78
CHA,1,0.0,0,dunntr01wc,918.06,
CHA,2,1.0,1,donovan99w,964.6550000000001,918.06
CHA,3,1.0,1,donovan99w,910.2449999999999,1882.7150000000001
CHA,4,1.0,1,laceytr99w,975.51,2792.96
CHA,5,0.0,0,laceytr99w,924.2850000000001,2850.41
CHA,6,0.0,0,boguemu01w,928.2299999999999,2810.04
CHA,7,0.0,0,boguemu01w,998.5050000000001,2828.0249999999996
CHI,7,0.0,0,cowenda01w,983.6550000000001,
CHI,8,0.0,0,overtbo99w,1047.42,983.6550000000001
CHI,9,0.0,0,keyst99wc,1018.9350000000001,2031.0750000000003
CHI,10,0.0,0,keyst99wc,983.745,3050.01
CLE,1,1.0,1,hugheda99w,969.5200000000001,
CLE,2,1.0,1,hugheda99w,904.58,969.5200000000001
CLE,3,0.0,0,hugheda99w,898.08,1874.1000000000001
CLE,4,1.0,1,hugheda99w,854.88,2772.1800000000003
CON,1,1.0,1,peckca99wc,945.145,
CON,2,0.0,0,peckca99wc,918.795,945.145
CON,3,0.0,0,brownde01w,939.9300000000001,1863.94
CON,4,1.0,1,thibami99w,1045.72,2803.87
CON,5,1.0,1,thibami99w,1068.3,2904.445
CON,6,1.0,1,thibami99w,1090.0300000000002,3053.95
CON,7,1.0,1,thibami99w,1122.2900000000002,3204.05
CON,8,1.0,1,thibami99w,1105.485,3280.6200000000003
CON,9,1.0,1,thibami99w,1057.7100000000003,3317.8050000000003
CON,10,0.0,0,thibami99w,1030.275,3285.485
DET,1,0.0,0,liebena01w,936.3000000000001,
DET,2,0.0,0,willigr99w,900.5250000000001,936.3000000000001
DET,3,0.0,0,laimbbi01w,909.7800000000001,1836.8250000000003
DET,4,1.0,1,laimbbi01w,1121.2549999999999,2746.6050000000005
DET,5,1.0,1,laimbbi01w,1023.335,2931.56
DET,6,1.0,1,laimbbi01w,991.8100000000001,3054.37
DET,7,1.0,1,laimbbi01w,1145.1650000000002,3136.4
DET,8,1.0,1,laimbbi01w,1108.3600000000001,3160.3100000000004
DET,9,1.0,1,laimbbi01w,1167.0149999999999,3245.3350000000005
DET,10,1.0,1,laimbbi01w,961.7700000000002,3420.5400000000004
HOU,1,1.0,1,chancva99w,1058.66,
HOU,2,1.0,1,chancva99w,919.4799999999999,1058.66
HOU,3,1.0,1,chancva99w,935.64,1978.1399999999999
HOU,4,1.0,1,chancva99w,987.0600000000001,2913.7799999999997
HOU,5,0.0,0,chancva99w,940.7700000000001,2842.18
HOU,6,1.0,1,chancva99w,1015.19,2863.4700000000003
HOU,7,1.0,1,chancva99w,1006.0399999999998,2943.0200000000004
HOU,8,0.0,0,thompka99w,995.3249999999999,2962.0
HOU,9,0.0,0,thompka99w,933.0300000000001,3016.555
IND,1,0.0,0,donovan99w,927.15,
IND,2,0.0,0,fortnne99w,913.005,927.15
IND,3,1.0,1,fortnne99w,940.105,1840.155
IND,4,0.0,0,fortnne99w,993.9300000000001,2780.26
IND,5,0.0,0,wintebr01w,972.84,2847.04
IND,6,1.0,1,wintebr01w,1002.525,2906.875
IND,7,1.0,1,wintebr01w,1037.8400000000001,2969.295
IND,8,1.0,1,wintebr01w,1084.4,3013.205
IND,9,1.0,1,dunnli99wc,1070.725,3124.7650000000003
IND,10,1.0,1,dunnli99wc,1162.65,3192.965
LAS,1,1.0,1,coopemi01w,1031.68,
LAS,2,1.0,1,coopemi01w,1077.145,1031.68
LAS,3,1.0,1,coopemi01w,1067.6599999999999,2108.825
LAS,4,1.0,1,coopemi01w,1133.475,3176.4849999999997
LAS,5,1.0,1,coopemi01w,1091.3149999999998,3278.2799999999997
LAS,6,1.0,1,bibbyhe01w,995.1750000000002,3292.45
LAS,7,1.0,1,bryanjo01w,1100.57,3219.965
LAS,8,0.0,0,coopemi01w,1024.2,3187.0599999999995
LAS,9,1.0,1,coopemi01w,1141.65,3119.945
LAS,10,1.0,1,coopemi01w,1071.815,3266.42
MIA,1,0.0,0,rothsro99w,853.095,
MIA,2,1.0,1,rothsro99w,913.1600000000001,853.095
MIA,3,0.0,0,rothsro99w,868.785,1766.255
MIN,1,0.0,0,aglerbr99w,919.755,
MIN,2,0.0,0,aglerbr99w,822.945,919.755
MIN,3,0.0,0,aglerbr99w,747.7349999999999,1742.7
MIN,4,1.0,1,mcconsu01w,873.7350000000001,2490.435
MIN,5,1.0,1,mcconsu01w,845.175,2444.415
MIN,6,0.0,0,mcconsu01w,862.8900000000002,2466.645
MIN,7,0.0,0,jenkica99w,936.735,2581.8
MIN,8,0.0,0,zierddo99w,989.79,2644.8
MIN,9,0.0,0,zierddo99w,1088.985,2789.415
MIN,10,0.0,0,gilloje01w,913.755,3015.5099999999998
NYL,1,1.0,1,adubari99w,973.4400000000002,
NYL,2,1.0,1,adubari99w,961.425,973.4400000000002
NYL,3,1.0,1,adubari99w,973.3900000000001,1934.8650000000002
NYL,4,0.0,0,adubari99w,960.735,2908.255
NYL,5,1.0,1,adubari99w,1016.2049999999999,2895.55
NYL,6,1.0,1,coylepa99w,996.63,2950.33
NYL,7,0.0,0,coylepa99w,996.0000000000001,2973.57
NYL,8,1.0,1,coylepa99w,1031.26,3008.835
NYL,9,1.0,1,coylepa99w,1104.19,3023.8900000000003
NYL,10,0.0,0,coylepa99w,971.6850000000001,3131.45
PHO,1,1.0,1,millech99w,945.8600000000001,
PHO,2,0.0,0,coopecy01w,895.59,945.8600000000001
PHO,3,0.0,0,coopecy01w,882.2550000000001,1841.4500000000003
PHO,4,0.0,0,shumajo01w,934.995,2723.7050000000004
PHO,5,0.0,0,grafca99wc,977.3549999999999,2712.84
PHO,6,0.0,0,grafca99wc,999.45,2794.605
PHO,7,0.0,0,westhpa99w,1135.875,2911.7999999999997
PHO,8,1.0,1,westhpa99w,1263.58,3112.68
PHO,9,0.0,0,gaineco01w,1139.22,3398.9049999999997
PHO,10,1.0,1,gaineco01w,1177.795,3538.675
POR,1,0.0,0,hargrli99w,915.75,
POR,2,0.0,0,hargrli99w,917.5350000000001,915.75
POR,3,0.0,0,hargrli99w,889.0350000000001,1833.285
SAC,1,1.0,1,allenso99w,986.27,
SAC,2,1.0,1,allenso99w,1015.1650000000002,986.27
SAC,3,0.0,0,mchugma99w,928.8,2001.4350000000002
SAC,4,1.0,1,mchugma99w,1040.2150000000001,2930.235
SAC,5,1.0,1,whisejo99w,1035.255,2984.1800000000003
SAC,6,1.0,1,whisejo99w,1031.52,3004.2700000000004
SAC,7,1.0,1,whisejo99w,935.0600000000001,3106.99
SAC,8,1.0,1,bouceje01w,983.6000000000001,3001.835
SAC,9,1.0,1,bouceje01w,976.635,2950.1800000000003
SAC,10,0.0,0,bouceje01w,946.6199999999999,2895.295
SAS,1,0.0,0,willifr99w,963.8399999999999,
SAS,2,1.0,1,harveca99w,947.3199999999999,963.8399999999999
SAS,3,1.0,1,harveca99w,1021.3349999999999,1911.1599999999999
SAS,4,0.0,0,dailesh99w,961.245,2932.495
SAS,5,0.0,0,brownde01w,939.9749999999999,2929.8999999999996
SAS,6,0.0,0,hugheda99w,804.7049999999999,2922.555
SAS,7,0.0,0,hugheda99w,840.315,2705.9249999999997
SAS,8,1.0,1,hugheda99w,892.26,2584.995
SAS,9,1.0,1,hugheda99w,997.0350000000001,2537.2799999999997
SAS,10,1.0,1,hugheda99w,775.835,2729.61
SEA,1,0.0,0,dunnli99wc,832.2750000000001,
SEA,2,0.0,0,dunnli99wc,879.87,832.2750000000001
SEA,3,1.0,1,dunnli99wc,953.83,1712.145
SEA,4,0.0,0,donovan99w,1002.7049999999999,2665.9750000000004
SEA,5,1.0,1,donovan99w,1089.6399999999999,2836.4049999999997
SEA,6,1.0,1,donovan99w,1039.0650000000003,3046.175
SEA,7,1.0,1,donovan99w,1076.1450000000002,3131.4100000000003
SEA,8,1.0,1,donovan99w,1105.3999999999999,3204.8500000000004
SEA,9,1.0,1,aglerbr99w,1051.35,3220.6100000000006
SEA,10,1.0,1,aglerbr99w,913.465,3232.895
WAS,1,1.0,1,darscna99w,923.1450000000001,
WAS,2,0.0,0,maherto99w,875.2800000000001,923.1450000000001
WAS,3,1.0,1,stanlma99w,964.63,1798.4250000000002
WAS,4,0.0,0,stanlma99w,985.425,2763.0550000000003
WAS,5,1.0,1,adamsmi01w,1004.95,2825.335
WAS,6,0.0,0,adubari99w,969.24,2955.005
WAS,7,1.0,1,adubari99w,1086.1549999999997,2959.615
WAS,8,0.0,0,adubari99w,1045.305,3060.345
WAS,9,0.0,0,kenlaje99w,979.4100000000001,3100.7
WAS,10,1.0,1,plankju99w,965.1699999999997,3110.87
